电影名称,上映年份,上映日期,档期类型,总票房(亿),预测票房(亿),票房预测偏差(亿),豆瓣评分,导演,主演,排片率(%),抖音话题播放量(亿),是否含流量演员,模型MAE（平均绝对误差）,模型RMSE（均方根误差）,模型R2（拟合优度）
流浪地球（悬疑·2025）,2025,2025/2/3,春节档,22.6,33.70942,11.10941925,7.3,陈凯歌,黄渤,16.33,98.02,1,20.7962,39.4878,0.3103
战狼2（剧情·2024）,2024,2024/9/3,普通档,7.67,17.927385,10.25738533,9.7,冯小刚,"王宝强,周冬雨",12.68,87.69,1,20.7962,39.4878,0.3103
水门桥（科幻·2023）,2023,2023/9/2,普通档,34.16,18.671291,15.48870865,7.4,周星驰,吴京,44.25,27.03,1,20.7962,39.4878,0.3103
万里归途7（战争·2023）,2023,2023/6/22,普通档,5.68,16.793121,11.11312134,7.6,冯小刚,易烊千玺,5.26,78.24,1,20.7962,39.4878,0.3103
封神4（战争·2025）,2025,2025/5/26,普通档,7.56,30.196869,22.6368689,8.1,陈思诚,"吴京,雷佳音,刘德华,沈腾",14.21,8.07,1,20.7962,39.4878,0.3103
流浪地球9（动作·2021）,2021,2021/2/5,春节档,14.71,35.477634,20.76763443,5.9,张艺谋,"贾玲,吴京,沈腾",12.36,149.43,1,20.7962,39.4878,0.3103
满江红（剧情·2022）,2022,2022/7/11,暑期档,2.78,9.06296,6.282959671,6.5,周星驰,"黄渤,张译,徐峥,刘昊然",58.18,89.33,1,20.7962,39.4878,0.3103
满江红4（剧情·2023）,2023,2023/7/14,暑期档,335.34,24.96989,310.3701094,7.1,周星驰,沈腾,18.06,39.96,1,20.7962,39.4878,0.3103
误杀5（剧情·2023）,2023,2023/7/4,暑期档,4,25.763641,21.76364136,4.4,张艺谋,"沈腾,章子怡,刘昊然,易烊千玺",13.21,33.48,1,20.7962,39.4878,0.3103
扫毒7（战争·2024）,2024,2024/9/11,普通档,17.4,17.447817,0.047816849,7,沈腾,黄渤,49.29,53.21,1,20.7962,39.4878,0.3103
飞驰人生（科幻·2020）,2020,2020/3/10,普通档,29.76,22.204897,7.555103073,7.7,徐克,周冬雨,12.63,7.53,1,20.7962,39.4878,0.3103
封神4（悬疑·2023）,2023,2023/9/29,普通档,2.3,18.838129,16.53812904,6.8,沈腾,"沈腾,易烊千玺,王宝强,刘昊然",17.69,100.07,1,20.7962,39.4878,0.3103
无名（悬疑·2023）,2023,2023/8/23,暑期档,13.95,20.266565,6.316565323,7.4,杜琪峰,刘昊然,11.46,26.77,1,20.7962,39.4878,0.3103
唐探（战争·2023）,2023,2023/6/17,普通档,46.1,22.763515,23.33648453,6.3,郭帆,刘昊然,38.74,22.61,1,20.7962,39.4878,0.3103
悬崖之上1（剧情·2021）,2021,2021/9/29,普通档,19.16,17.166243,1.993757401,8.7,吴京,"黄渤,周冬雨",27.18,7.82,1,20.7962,39.4878,0.3103
悬崖之上7（科幻·2021）,2021,2021/10/17,普通档,2.52,17.280252,14.76025246,7.4,徐峥,"沈腾,章子怡",37.48,101.68,1,20.7962,39.4878,0.3103
热辣滚烫7（悬疑·2024）,2024,2024/8/24,暑期档,45.79,20.651522,25.13847832,7,张艺谋,"刘德华,章子怡,刘昊然,吴京",40.46,3.18,1,20.7962,39.4878,0.3103
流浪地球（动画·2021）,2021,2021/4/10,普通档,11.48,27.24785,15.76785042,6.9,沈腾,沈腾,10.88,3.54,1,20.7962,39.4878,0.3103
唐探4（动画·2025）,2025,2025/3/23,普通档,30.86,19.13505,11.72495018,6.1,宁浩,沈腾,7.99,1.8,1,20.7962,39.4878,0.3103
万里归途8（战争·2024）,2024,2024/10/13,普通档,1.64,28.677908,27.03790794,6,贾玲,吴京,10.94,10.26,1,20.7962,39.4878,0.3103
热辣滚烫9（喜剧·2020）,2020,2020/1/10,普通档,1.29,11.700842,10.4108419,7.1,陈思诚,沈腾,17.21,50.81,1,20.7962,39.4878,0.3103
长津湖3（悬疑·2025）,2025,2025/1/8,普通档,22.86,22.943748,0.083748474,6.7,张艺谋,刘德华,21.59,2953.99,1,20.7962,39.4878,0.3103
怒火8（喜剧·2022）,2022,2022/2/10,普通档,45.6,28.9229,16.67710075,7,吴京,"章子怡,徐峥",52.72,17.6,1,20.7962,39.4878,0.3103
功夫2（战争·2023）,2023,2023/10/26,普通档,17.1,22.39823,5.298229599,7.2,林超贤,易烊千玺,27.25,4.56,1,20.7962,39.4878,0.3103
误杀1（爱情·2020）,2020,2020/8/17,暑期档,3.69,13.467844,9.777844009,7.8,沈腾,"徐峥,吴京,王宝强",33.28,4.5,1,20.7962,39.4878,0.3103
水门桥8（动作·2022）,2022,2022/4/29,普通档,0.34,18.4101,18.07010094,6.2,陈思诚,"周冬雨,吴京,雷佳音",35.69,64.93,1,20.7962,39.4878,0.3103
飞驰人生4（悬疑·2021）,2021,2021/2/5,春节档,20.98,67.125626,46.14562561,7.4,张艺谋,"张译,易烊千玺,雷佳音",56.93,284.47,1,20.7962,39.4878,0.3103
万里归途9（喜剧·2025）,2025,2025/7/10,暑期档,8.8,23.562845,14.76284523,6.2,陈凯歌,"章子怡,沈腾,易烊千玺,徐峥",45.16,68.89,1,20.7962,39.4878,0.3103
奇迹5（战争·2022）,2022,2022/9/7,普通档,13.21,20.648138,7.438138046,7,徐克,"徐峥,易烊千玺",29.39,10.27,1,20.7962,39.4878,0.3103
